source,dest,dist
25,"מתנ""ס לוין",2.3330722407416276
25,"מתנ""ס נירים",2.1514852432151756
25,"מתנ""ס נעורים",2.8328617527310884
25,"מתנ""ס פאני קפלן",2.939903786122632
25,"מתנ""ס טאובל",3.893313709655022
25,"מתנ""ס - י'א",1.0792936686890786
25,מרכז הצעירים,3.9656140090528265
25,"מתנ""ס רמות",3.2481013334376017
25,"מתנ""ס נווה זאב",3.2851432402257634
25,מתנס נווה נוי,4.796129310633131
26,"מתנ""ס לוין",2.705801654698616
26,"מתנ""ס נירים",2.5456643067280376
26,"מתנ""ס נעורים",3.2082860053607507
26,"מתנ""ס פאני קפלן",3.3331326630730516
26,"מתנ""ס טאובל",4.246824142965373
26,"מתנ""ס - י'א",1.0250712126799613
26,מרכז הצעירים,4.110383395618287
26,"מתנ""ס רמות",3.645424732453656
26,"מתנ""ס נווה זאב",3.2783022112864537
26,מתנס נווה נוי,4.86985906707691
27,"מתנ""ס לוין",2.4178281827536376
27,"מתנ""ס נירים",2.223750221255583
27,"מתנ""ס נעורים",2.9159887040127628
27,"מתנ""ס פאני קפלן",3.012263928261253
27,"מתנ""ס טאובל",3.9834979936580317
27,"מתנ""ס - י'א",1.1526221369911105
27,מרכז הצעירים,4.0684091540596325
27,"מתנ""ס רמות",3.281329726649531
27,"מתנ""ס נווה זאב",3.3729454005308215
27,מתנס נווה נוי,4.89404051312008
28,"מתנ""ס לוין",2.6837585104025874
28,"מתנ""ס נירים",2.4771482514273315
28,"מתנ""ס נעורים",3.180304882477645
28,"מתנ""ס פאני קפלן",3.2648491564725006
28,"מתנ""ס טאובל",4.25287243688019
28,"מתנ""ס - י'א",1.2838721861360163
28,מרכז הצעירים,4.29705875895896
28,"מתנ""ס רמות",3.4707106572827873
28,"מתנ""ס נווה זאב",3.5332164892620623
28,מתנס נווה נוי,5.094135788430314
29,"מתנ""ס לוין",2.5065116476827596
29,"מתנ""ס נירים",2.3030050170140495
29,"מתנ""ס נעורים",3.0032697281508143
29,"מתנ""ס פאני קפלן",3.0911031716673363
29,"מתנ""ס טאובל",4.0758092217882735
29,"מתנ""ס - י'א",1.2191383192635172
29,מרכז הצעירים,4.164398030829962
29,"מתנ""ס רמות",3.3266951684095836
29,"מתנ""ס נווה זאב",3.4513535050551987
29,מתנס נווה נוי,4.983600995342764
30,"מתנ""ס לוין",2.761523282425574
30,"מתנ""ס נירים",2.5448156671574393
30,"מתנ""ס נעורים",3.2562305542155134
30,"מתנ""ס פאני קפלן",3.3313608440724947
30,"מתנ""ס טאובל",4.334677706074575
30,"מתנ""ס - י'א",1.371067094951456
30,מרכז הצעירים,4.3948227986102895
30,"מתנ""ס רמות",3.502998793933477
30,"מתנ""ס נווה זאב",3.6226157713322293
30,מתנס נווה נוי,5.189306809101141
31,"מתנ""ס לוין",2.698529290415367
31,"מתנ""ס נירים",2.480306299584918
31,"מתנ""ס נעורים",3.192792675894614
31,"מתנ""ס פאני קפלן",3.2667651613325797
31,"מתנ""ס טאובל",4.272794619861209
31,"מתנ""ס - י'א",1.357005433098125
31,מרכז הצעירים,4.357002622379561
31,"מתנ""ס רמות",3.442306683585484
31,"מתנ""ס נווה זאב",3.6050791256061436
31,מתנס נווה נוי,5.160856537089057
32,"מתנ""ס לוין",2.708399607786185
32,"מתנ""ס נירים",2.5154459454129494
32,"מתנ""ס נעורים",3.207264673563215
32,"מתנ""ס פאני קפלן",3.3038849368298338
32,"מתנ""ס טאובל",4.270186539944037
32,"מתנ""ס - י'א",1.2129012585913908
32,מרכז הצעירים,4.255116713578268
32,"מתנ""ס רמות",3.539693404621547
32,"מתנ""ס נווה זאב",3.465211318646589
32,מתנס נווה נוי,5.038571611506309
33,"מתנ""ס לוין",2.785604808676061
33,"מתנ""ס נירים",2.586522971411793
33,"מתנ""ס נעורים",3.2836346321804304
33,"מתנ""ס פאני קפלן",3.3746530015348126
33,"מתנ""ס טאובל",4.3499490140937045
33,"מתנ""ס - י'א",1.2770726891663697
33,מרכז הצעירים,4.33474264766625
33,"מתנ""ס רמות",3.5870064544164837
33,"מתנ""ס נווה זאב",3.5304355134675474
33,מתנס נווה נוי,5.112173894221806
34,"מתנ""ס לוין",2.5148761669430866
34,"מתנ""ס נירים",2.3728930620025808
34,"מתנ""ס נעורים",3.018213735818094
34,"מתנ""ס פאני קפלן",3.157880913503734
34,"מתנ""ס טאובל",4.046052116850884
34,"מתנ""ס - י'א",0.876563243529887
34,מרכז הצעירים,3.9133315100231743
34,"מתנ""ס רמות",3.52993942765745
34,"מתנ""ס נווה זאב",3.1239805792537703
34,מתנס נווה נוי,4.690945308973884
35,"מתנ""ס לוין",2.621778833574556
35,"מתנ""ס נירים",2.4363245820888766
35,"מתנ""ס נעורים",3.121565988824739
35,"מתנ""ס פאני קפלן",3.2248829035573374
35,"מתנ""ס טאובל",4.180316592999825
35,"מתנ""ס - י'א",1.1430534108939063
35,מרכז הצעירים,4.165057235250242
35,"מתנ""ס רמות",3.4882806814408194
35,"מתנ""ס נווה זאב",3.3920712549356646
35,מתנס נווה נוי,4.955432388161178
36,"מתנ""ס לוין",2.4531158986320736
36,"מתנ""ס נירים",2.3455477323084155
36,"מתנ""ס נעורים",2.956532119831499
36,"מתנ""ס פאני קפלן",3.123253674233199
36,"מתנ""ס טאובל",3.9573272041941046
36,"מתנ""ס - י'א",0.6831573509223006
36,מרכז הצעירים,3.7315886387332133
36,"מתנ""ס רמות",3.573232501115373
36,"מתנ""ס נווה זאב",2.9286525377143184
36,מתנס נווה נוי,4.498625444947501
37,"מתנ""ס לוין",2.5199537544727284
37,"מתנ""ס נירים",2.4240342273504205
37,"מתנ""ס נעורים",3.022787736637153
37,"מתנ""ס פאני קפלן",3.1987619441961757
37,"מתנ""ס טאובל",4.011351545498755
37,"מתנ""ס - י'א",0.6248524462829004
37,מרכז הצעירים,3.7178471891007603
37,"מתנ""ס רמות",3.666259389178138
37,"מתנ""ס נווה זאב",2.8775060063119455
37,מתנס נווה נוי,4.4654766040497575
38,"מתנ""ס לוין",2.639275983315919
38,"מתנ""ס נירים",2.5624128580194783
38,"מתנ""ס נעורים",3.1404220823778206
38,"מתנ""ס פאני קפלן",3.3315055297413383
38,"מתנ""ס טאובל",4.107482582429513
38,"מתנ""ס - י'א",0.5483835174396469
38,מרכז הצעירים,3.6980390115732202
38,"מתנ""ס רמות",3.8278790243901963
38,"מתנ""ס נווה זאב",2.7927679913949164
38,מתנס נווה נוי,4.410572981072909
39,"מתנ""ס לוין",3.098557531324553
39,"מתנ""ס נירים",2.950162064449501
39,"מתנ""ס נעורים",3.6019204000511746
39,"מתנ""ס פאני קפלן",3.7368679981923845
39,"מתנ""ס טאובל",4.624356677556952
39,"מתנ""ס - י'א",1.1547274980403175
39,מרכז הצעירים,4.318225922273962
39,"מתנ""ס רמות",4.04076451528688
39,"מתנ""ס נווה זאב",3.3537578485413984
39,מתנס נווה נוי,5.007361869315565
40,"מתנ""ס לוין",2.4545842158693887
40,"מתנ""ס נירים",2.3752765492124315
40,"מתנ""ס נעורים",2.956274007224388
40,"מתנ""ס פאני קפלן",3.1445316791303126
40,"מתנ""ס טאובל",3.931682673680291
40,"מתנ""ס - י'א",0.5307525293273728
40,מרכז הצעירים,3.6104753231988855
40,"מתנ""ס רמות",3.6508960918013886
40,"מתנ""ס נווה זאב",2.7796453276629096
40,מתנס נווה נוי,4.360606886026323
41,"מתנ""ס לוין",2.3599655725667095
41,"מתנ""ס נירים",2.2375342173140456
41,"מתנ""ס נעורים",2.8636348358122494
41,"מתנ""ס פאני קפלן",3.0184837122394024
41,"מתנ""ס טאובל",3.8794582963629964
41,"מתנ""ס - י'א",0.7648061857705741
41,מרכז הצעירים,3.7428782045672877
41,"מתנ""ס רמות",3.4476934320302055
41,"מתנ""ס נווה זאב",2.9907122701564366
41,מתנס נווה נוי,4.5351498310509815
42,"מתנ""ס לוין",2.397281063804945
42,"מתנ""ס נירים",2.288665614400917
42,"מתנ""ס נעורים",2.900759116608391
42,"מתנ""ס פאני קפלן",3.0664535095136984
42,"מתנ""ס טאובל",3.904050287849431
42,"מתנ""ס - י'א",0.6893794825192084
42,מרכז הצעירים,3.705683069887625
42,"מתנ""ס רמות",3.5197371850908827
42,"מתנ""ס נווה זאב",2.9255050534524445
42,מתנס נווה נוי,4.483474281198938
43,"מתנ""ס לוין",2.3805467860049996
43,"מתנ""ס נירים",2.2908797415905564
43,"מתנ""ס נעורים",2.8831505938187845
43,"מתנ""ס פאני קפלן",3.0632132267768726
43,"מתנ""ס טאובל",3.870457508010195
43,"מתנ""ס - י'א",0.5906373001014156
43,מרכז הצעירים,3.6169200396395165
43,"מתנ""ס רמות",3.555751045569503
43,"מתנ""ס נווה זאב",2.8256740598479153
43,מתנס נווה נוי,4.38718862353001
44,"מתנ""ס לוין",2.4589442468719813
44,"מתנ""ס נירים",2.362675446939894
44,"מתנ""ס נעורים",2.9618593434577916
44,"מתנ""ס פאני קפלן",3.1372933011028348
44,"מתנ""ס טאובל",3.9525673788897127
44,"מתנ""ס - י'א",0.6222738329862738
44,מרכז הצעירים,3.686291085365627
44,"מתנ""ס רמות",3.609540524131334
44,"מתנ""ס נווה זאב",2.8699260483330313
44,מתנס נווה נוי,4.445539403610399
