X,Y,Z,combined1,combined2,combined3,SpecialCom,Swing,slid,carrousel,spring,omega,roserose,other,shadowing,surface,Name,type
34.7787649370001,31.267014741,0,1,0,0,0,2,0,0,0,0,0,,אין,משטח גומי,טולדנו 3-5,כיס
34.7779843210001,31.267431012,0,1,0,0,0,2,0,0,0,0,0,,אין,משטח גומי,טולדנו 7,כיס
34.7872159350001,31.2630565210001,0,1,0,0,0,2,0,0,0,0,0,1 - קיר טיפוס,אין,משטח גומי,גן נדב,כיס
34.7675525,31.2581808250001,0,1,0,0,0,0,0,1,0,0,0,,אין,משטח חול,משה סנה -משה שרת,שכונתי
34.764158007,31.2613721700001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,גולדה מאיר,כיס
34.7642357020001,31.2561548080001,0,0,0,1,0,0,0,0,0,0,0,,אין,משטח גומי,דב יוסף,כיס
34.7688248600001,31.2543935570001,0,1,0,0,0,2,0,0,0,0,0,,אין,משטח גומי,גן ראול,שכונתי
34.768194803,31.2620781050001,0,0,0,2,0,0,0,0,0,0,0,,אין,משטח חול,פארק יא'  4,שכונתי
34.7658054720001,31.260747995,0,0,0,0,0,0,0,0,0,0,0,1 - מתקן פרמידה כבלים,אין,משטח חול,פארק יא 3,שכונתי
34.765367703,31.2585068490001,0,0,2,0,0,2,0,0,0,0,0,,אין,משטח חול,פארק יא 1,שכונתי
34.7695171670001,31.2532650860001,0,1,1,0,0,2,0,0,1,0,0,,אין,משטח גומי,"החיד""א 35",שכונתי
34.7679072720001,31.253615186,0,1,0,0,0,0,0,0,3,0,1,,אין,משטח גומי,"החיד""א 59",כיס
34.7685063210001,31.2646398110001,0,0,0,1,0,0,0,1,1,0,0,,אין,משטח גומי,ארתור רופין הרצל קלעי,שכונתי
34.7733927990001,31.260104649,0,0,0,2,0,12,0,2,0,0,0,"4- מתקן רב ערסלים
ומתקן מיוחד פרמידה כבלים",יש,משטח גומי,פארק אוסטרלי,רובעי
34.773417722,31.2595105450001,0,1,2,0,0,0,0,0,0,0,0,9,אין,משטח גומי,פארק אוסטרלי מתחם קטן,רובעי
34.7652099480001,31.2544955430001,0,0,0,0,0,0,0,0,1,0,1,,אין,משטח גומי,שיטרית,כיס
34.7702122910001,31.261834337,0,1,0,0,0,0,0,0,2,0,0,,אין,משטח חול,מיכאל חזני,כיס
34.771787809,31.2581519600001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח גומי,אלפסי קוק,כיס
34.8061070640001,31.2344118710001,0,1,1,0,0,3,0,1,1,0,1,"משולב 1 -  מתקן דמוי דחפור 
נדנדה קן לציפור",יש,משטח גומי,פארק נחל באר שבע  - קטן,
34.7993228220001,31.2711163880001,0,0,1,0,0,0,0,0,0,0,0,,אין,משטח גומי,יצחק שיפר,
34.801290421,31.2657531200001,0,0,0,1,0,0,0,0,2,0,1,,אין,משטח חול,גן סלקום,שכונתי
34.7987573720001,31.266730183,0,0,1,0,0,2,0,0,2,0,0,"3 - מסלול פטריות 3*3
ואחד מיוחד",אין,משטח גומי,גן סיאטל,שכונתי
34.792057529,31.2686560700001,0,1,0,0,0,1,0,0,2,0,1,1 - סביבון ישיבה משטח עץ,יש,משטח גומי,אייסים 12,כיס
34.7911088720001,31.267681801,0,1,0,0,0,0,0,0,2,0,0,,יש,משטח גומי,אייסים 6,כיס
34.7923039500001,31.2617219260001,0,1,0,0,0,0,0,0,2,0,0,,אין,משטח גומי,בר גיורא 23,כיס
34.7976580530001,31.2635208570001,0,1,0,0,0,2,0,1,2,0,1,,אין,משטח חול,יעקב אבינו מעונות סטודנטים,
34.7902514990001,31.270606802,0,1,0,0,0,1,0,0,1,0,1,נתדנדת סירה,אין,משטח חול,גן לימון,
34.7957436830001,31.273849554,0,1,0,0,0,0,0,0,0,0,1,1 - קורת שיווי משקל,אין,משטח חול,פארק הדסה,
34.797079479,31.271371984,0,1,0,1,0,0,0,0,1,0,0,,אין,משטח גומי,גן יונתן,
34.7976975490001,31.2657921320001,0,0,1,0,0,0,0,0,2,0,0,,אין,משטח חול,הבשור,
34.7874859550001,31.2673089850001,0,0,0,0,0,9,0,1,8,0,2,"5
ואחד מיוחד",אין,משטח חול,אילן רמון,שכונתי
34.7867042400001,31.2693899440001,0,0,0,0,1,1,0,0,0,0,0,משולב ספורט טיפוס,,משטח גומי,תלמוד 54,כיס
34.791803444,31.2662174060001,0,1,0,0,0,0,0,0,4,0,0,,אין,משטח חול,גן הפיל,
34.7937702610001,31.2669388420001,0,0,1,0,0,0,0,0,0,0,0,,אין,משטח גומי,נחליאלי,כיס
34.7942479710001,31.2619495490001,0,0,0,1,0,0,0,0,0,0,2,1 - קוזי קוקון מפלסטיק,יש,משטח גומי,כיכר אהבות,שכונתי
34.8066527710001,31.249811843,0,3,0,0,0,2,0,0,3,0,0,,אין,משטח חול,גן מעפילים,שכונתי
34.806063264,31.250060666,0,1,0,0,0,0,0,0,1,0,0,,אין,משטח חול,"כ""ג 13",כיס
34.803824923,31.257494669,0,0,1,0,0,2,0,0,1,0,0,,אין,משטח גומי,וינגייט 55,שכונתי
34.8108565960001,31.2597144700001,0,1,0,0,0,20,0,1,0,1,1,2,יש,משטח גומי,פארק מרמלדה,רובעי
34.7911598640001,31.2543232370001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,מרכז חן,שכונתי
34.7914931030001,31.2493328790001,0,1,0,0,0,0,0,0,1,0,1,,אין,משטח חול,כיכר קפלן,כיס
34.790338374,31.258410138,0,1,0,0,0,0,0,0,1,0,0,,אין,משטח גומי,מצדה 59,כיס
