X,Y,Z,neighborho,street,HouseNumbe,Name,OtherName
34.791894246,31.2677229270001,0,ד,האיסיים,20,,מלאך רפאל
34.7926282710001,31.2667173560001,0,ד,אליהו הנביא,21,ציפורן,
34.7922902980001,31.266603853,0,ד,אליהו הנביא,19,בית כנסת רבי אליעזר- שכ' ד',רבי אלעזר
34.79188049,31.264569911,0,ד,דוד המלך,8,,
34.790523512,31.262432614,0,ד,אלעזר בן יאיר,31,מקלט,
34.790660571,31.2619229970001,0,ד,רבי עקיבא,74,בית כנסת,
34.791532298,31.2614017070001,0,ד,בר גיורא,18,,
34.7930866080001,31.2608944470001,0,ד,בר גיורא,9,חרצית,אלי כהן
34.793356169,31.259858519,0,ד,רבי טרפון,6,,שבט אחים
34.792991704,31.2593810660001,0,ד,רבי עקיבא,20,,מעיינות
34.7926550490001,31.2590828890001,0,ד,רבי עקיבא,13,,משה שלום
34.7853327610001,31.270656473,0,ד,אבן עזרא,32,,מעיין חיים - גרוזיה
34.785365766,31.2695888210001,0,ד,התלמוד,62,,אחדות ישראל
34.785888544,31.2687198260001,0,ד,סנהדרין,164,,יד לאחים
34.801213804,31.266644571,0,ד,בן מתתיהו,2,,בית אליהו
34.802995997,31.265858554,0,ד,שמחה אסף,33,,אביר יעקב
34.795114809,31.2646810250001,0,ד,רוסי,5,מקלט,
34.795316115,31.2647303740001,0,ד,הורקנוס,16,,
34.795640012,31.264236098,0,ד,רוסי,2,,הישועה
34.7963131240001,31.2638618760001,0,ד,אלכסנדר ינאי,16,,
34.794832034,31.2639169710001,0,ד,אלכסנדר ינאי,22,,
34.7944890050001,31.262922455,0,ד,אברהם אבינו,4,בית כנסת אברהם אבינו- בנוי,קדושי אושביץ
34.795096417,31.262191355,0,ד,יעקב אבינו,14,,אהבת תורה
34.7965872190001,31.2604871560001,0,ד,שלמה המלך,10,מקלט,
34.79571908,31.2612093020001,0,ד,הקניזי,11,,אהבה ואחווה
34.795338615,31.2611714060001,0,ד,יצחק אבינו,5,מקלט,
34.799978497,31.2709204060001,0,ד,שיפר,14,,בית יעקב
34.786061999,31.272770731,0,ד,מרכז קליטה,0,,
34.786271539,31.2731788780001,0,ד,מרכז קליטה,0,,
34.7858783510001,31.2727616540001,0,ד,מרכז קליטה,0,,
34.783964752,31.272683397,0,ד,מרכז קליטה,0,,בית חולים פסיכיאטרי
34.771488758,31.2305508060001,0,נווה זאב,בז,26,בית כנסת+ בית מדרש מקדש מלך-נווה זאב,
34.768204414,31.2369854090001,0,נווה זאב,גרוסמן,22,בית כנסת מג' 302,
34.770330001,31.2371614850001,0,נווה זאב,ניב,2,בית כנסת ציון ויהודה,מנחת יהודה
34.779977565,31.2383190950001,0,נווה זאב,קיפניס,1,בית כנסת בני שלמה,בני שלמה
34.7754183270001,31.241990216,0,נווה זאב,אשבל,17,בית כנסת מנחם ציון-ניצן חלק,
34.7760966750001,31.2394152050001,0,נווה זאב,אביגדור המאירי,10,בית כנסת חסיתי בך,
34.764555945,31.2386033770001,0,נווה זאב,מקור חיים,3,בית כנסת- פנוי- שכ' נווה זאב,
34.7625892670001,31.238525613,0,נווה זאב,סוד השבועה,2,,חסד לאברהם
34.763104797,31.235406997,0,נווה זאב,התורה הגואלת,3,בית כנסת נאות אברהם,
34.7755384660001,31.2214995310001,0,נחל בקע,חזמה,13,מקלט,
34.7809155460001,31.2245743190001,0,נחל בקע,צביה ויצחק,45,מקלט,
34.79337186,31.2323157770001,0,נווה נוי,שיזף,2,,בית אברהם
34.793406739,31.231989975,0,נווה נוי,שיזף,1,,מועצה דתית
34.7935958240001,31.231427454,0,נווה נוי,יסמין,11,בית כנסת לעולי איראן,
34.785869124,31.229867837,0,נווה נוי,אטד,56,בית כנסת שבת אחים- נווה נוי,שבת אחים
34.785035185,31.2308832840001,0,נווה נוי,אפרסמון,11,בית כנסת-מרדכי היהודי-נוה נוי,
34.7928374210001,31.2401658900001,0,עיר עתיקה,יאיר,10,,בית יוסף
34.790820624,31.2420344820001,0,עיר עתיקה,גרשון,37,,
34.786198934,31.2398063640001,0,עיר עתיקה,האבות,59,,מעיין
34.7855644580001,31.2408410850001,0,עיר עתיקה,האבות,78,,
34.7856197990001,31.240899691,0,עיר עתיקה,האבות,78,,
34.7854106030001,31.240863647,0,עיר עתיקה,האבות,80,,
34.7888433090001,31.2397255010001,0,עיר עתיקה,ההסתדרות,37,,הפועל המזרחי
34.7925714200001,31.2421128180001,0,עיר עתיקה,החלוץ,130,,לגריבה
34.7870687430001,31.236375374,0,עיר עתיקה,החלוץ,8,,
34.7901431400001,31.2423073950001,0,עיר עתיקה,גרשון,43,,
34.78546741,31.2405213010001,0,עיר עתיקה,האבות,69,,
34.785712727,31.240340686,0,עיר עתיקה,האבות,67,,אורח חיים
34.7911949350001,31.240071534,0,עיר עתיקה,הדסה,37,,סוכת שלום
34.7853459460001,31.2397227020001,0,עיר עתיקה,נגבה,23,,
34.787446742,31.237330752,0,עיר עתיקה,סמילנסקי,27,,עולי תורכיה
34.781535235,31.2370299310001,0,עיר עתיקה,לוי,1,,
34.784578894,31.2371844030001,0,עיר עתיקה,ההגנה,10,,חברון
34.7925115190001,31.2417767270001,0,עיר עתיקה,"רמב""ם",15,,בית אפרים
34.797479041,31.2249690990001,0,מחנה נתן,,0,,מחנה נתן
34.797210428,31.2804275120001,0,רמות הרכס,נתן רוטנשטרייך,3,יגדיל תורה הקצאה,
34.8072585080001,31.2832045650001,0,רמות,רחבעם זאבי,4,"חב""ד בהליך",
34.807038176,31.273753556,0,רמות,בלוך רודולף,45,מקלט,
34.806241566,31.2710282940001,0,רמות,ילין דוד,43,קול ברמה מקלט,
34.7999329880001,31.281876213,0,רמות,גרינפלד,,"האר""י הקדוש",
34.8024275010001,31.2875714090001,0,רמות,אשכולית,,שערי ניסים,
-1.79769313486232e+308,-1.79769313486232e+308,0,ב,שטרוק,26,שערי ניסים בהליך,
