"type","crs__type","crs__properties__name","features__type","features__properties__MainFeatur","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"","","","Feature","תצפית נקודת גובה 254","Point","3866673.322226107120514","3666527.354712025728077"
"","","","Feature","פתחי ניקוז בחומת בית הקברות - מאפשרים מעבר בעלי חיים לשטח בית הקברות ולהיפך","Point","3868562.663917837664485","3664646.024020055308938"
"","","","Feature","שום אשרסון","Point","3875877.391315393615514","3671460.993819988332689"
"","","","Feature","מדרון תלול עם מחשופי סלע- אתר מחיה לזוחלים, יונקים וציפורים","Point","3871318.575686357915401","3668595.09867053758353"
"","","","Feature","אגם מלאכותי בגן הזואולוגי. עופות מים.","Point","3867720.232972324825823","3666403.624187896028161"
"","","","Feature","מצוק בגובה כ- 5 מ', ריכוז גדול של מלחית אשונה","Point","3874688.165187373757362","3669319.550400545820594"
"","","","Feature","נקודת שחרור מים - כנראה עודפים מהבריכות. לפי הצמחייה הירוקה במורד הערוץ, ההזרמה נמשכת זמן מה אך לא במשך זמן רב","Point","3874823.036495334934443","3670592.705541565082967"
"","","","Feature","ריכוז גיאופיטים- כלניות- אלפי פרטים, 300 על 100 מטר סביב הערוצים","Point","3868072.437144139781594","3670738.299611578695476"
"","","","Feature","אשחר רחב-עלים - פרט גדול","Point","3872830.242852039635181","3667445.067866337951273"
"","","","Feature","עץ שיזף מצוי","Point","3869748.681989255361259","3669082.825848339125514"
"","","","Feature","שיטה סלילנית","Point","3868094.549693183042109","3667475.250150381121784"
"","","","Feature","לימן עם עצים וצמחייה עונתית עשירה- אתר קינון ונקודת צל","Point","3872851.386700087692589","3669915.562971813604236"
"","","","Feature","תל באר שבע","Point","3878894.259891173802316","3664422.22815137822181"
"","","","Feature","שום אשרסון, קדד נאה, אירוס א""י","Point","3877356.938688781578094","3671226.757265696767718"
"","","","Feature","מבתר רכבת לעומק כשלושה מטרים בגבעה","Point","3867029.23887301934883","3667119.015961564145982"
"","","","Feature","ריכוז אירוס שחום- 50+ פרטים, 100 על 50 מטר","Point","3871959.066944623365998","3673204.301686901133507"
"","","","Feature","ריכוז גיאופיטים- עירית גדולה- מאות פרטים, 10 על 30 מטר","Point","3872663.659042034298182","3669049.570910264272243"
"","","","Feature","עץ אשל","Point","3870875.361288533546031","3664142.366029358003289"
"","","","Feature","שמשון הדור וצבעונים","Point","3875804.588369279168546","3668098.994377944152802"
"","","","Feature","שום אשרסון ושום נוסף ב.מ.","Point","3874345.857753853313625","3671577.983480973169208"
"","","","Feature","חישת קנים ושיחי מלוח קיפח נרחבת","Point","3868382.707120776176453","3667319.51160015584901"
"","","","Feature","טראסה רדודה בערוץ הנחל (חקלאות עתיקה)","Point","3868189.101868842728436","3662775.454885372426361"
"","","","Feature","מספר פרטים של צמר מפוצל - לא שכיח במרחב הסקר","Point","3868852.276904439087957","3666478.952846392057836"
"","","","Feature","תצפית","Point","3872552.389452028553933","3673261.820130796171725"
